categoria;complejo;numero de partido;etapa;dia y horario;pareja
C7;LA MECA;54;8vos;SABADO 15:30 HS;#42 vs #43
C7;LA MECA;55;8vos;SABADO 15:30 HS;#44 vs #45
C7;LA MECA;56;8vos;SABADO 17:00 HS;#46 vs #47
C7;LA MECA;57;8vos;SABADO 17:30 HS;#48 vs #49
C7;LA MECA;58;4tos;SABADO 17:00 HS;#50 vs #51
C7;LA MECA;59;4tos;SABADO 18:15 HS;#52 vs #53
C7;LA MECA;60;4tos;SABADO 19:45 HS;#54 vs #55
C7;LA MECA;61;4tos;SABADO 22:15 HS;#56 vs #57
C7;MITRE PADEL;62;Semifinal;DOMINGO 11:45 HS;#58 vs #59
C7;MITRE PADEL;63;Semifinal;DOMINGO 11:45 HS;#60 vs #61
C7;MITRE PADEL;64;Final;DOMINGO 16:00 HS;#62 vs #63
C7 45;REAL PADEL;50;8vos;VIERNES 21:45 HS;P. MUÑOZ / H. ALVAREZ vs P. PRIETO / F. GONZALEZ
C7 45;REAL PADEL;51;8vos;VIERNES 20:30 HS;BARROSO / DEL RIO vs W. CASAL / W. LOPEZ
C7 45;REAL PADEL;54;8vos;VIERNES 20:30 HS;M. SEOANE / SCIAINI vs BERATZ / P. CABRERA
C7 45;REAL PADEL;55;8vos;VIERNES 21:45 HS;AUADA / DZIEWULSKI vs A. POL / ROJAS
C7 45;REAL PADEL;57;8vos;SABADO 17:00 HS;TRAPANI / CAPITINA (espera ganador del partido 50)
C7 45;REAL PADEL;58;4tos;SABADO 18:15 HS;ARAMBURU / SALINARDI (espera ganador del partido 51)
C7 45;REAL PADEL;59;4tos;SABADO 19:45 HS;ARAMBURU / SALINARDI vs VERON / VERON
C7 45;REAL PADEL;60;4tos;SABADO 21:00 HS;SALORT / MUTTI (espera ganador del partido 55)
C7 45;REAL PADEL;61;4tos;DOMINGO 10:30 HS;#57 vs #58
C7 45;REAL PADEL;62;Semifinal;DOMINGO 10:30 HS;#59 vs #60
C7 45;REAL PADEL;64;Final;DOMINGO 15:00 HS;#61 vs #62
D2;MITRE PADEL;58;4tos;SABADO 18:00 HS;GRANES / PRADO vs PISTONE / COSTA
D2;MITRE PADEL;59;4tos;SABADO 16:45 HS;COSENTINO / SEIJAS vs MANSILLA / DAMENO
D2;MITRE PADEL;61;4tos;DOMINGO 13:00 HS;MANCO / MAZZOLINI (espera ganador del partido 58)
D2;MITRE PADEL;62;Semifinal;DOMINGO 13:00 HS;VIEGAS / ESTRADA (espera ganador del partido 59)
D2;MITRE PADEL;64;Final;DOMINGO 17:00 HS;#61 vs #62
D4;MITRE PADEL;50;8vos;SABADO 15:30 HS;MUTTI / MOVIA vs K. GARCIA / ALEJO
D4;MITRE PADEL;57;8vos;SABADO 20:45 HS;A. MONZON / A. PRIETO (espera ganador del partido 50)
D4;MITRE PADEL;58;4tos;SABADO 19:30 HS;D. STANGANELLI / COSTANZO vs O. VEGA / M. FOTIA
D4;MITRE PADEL;59;4tos;SABADO 19:30 HS;DELLE CHIAIE / S. FRIDMAN vs VICCINI / ASSALONE
D4;MITRE PADEL;60;4tos;SABADO 20:45 HS;PROFITOS / P. ALVAREZ vs GROBA / VERDUN
D4;MITRE PADEL;61;4tos;DOMINGO 14:30 HS;#57 vs #58
D4;MITRE PADEL;62;Semifinal;DOMINGO 14:30 HS;#59 vs #60
D4;MITRE PADEL;64;Final;DOMINGO 18:00 HS;#61 vs #62
D5;MITRE PADEL;50;8vos;SABADO 15:30 HS;YESA / PASTORELLA vs MAGNO / S. PAEZ
D5;MITRE PADEL;54;8vos;SABADO 16:45 HS;M. GONZALEZ NOVELLI / FARINA CURCI vs FOTIA / F. SEOANE
D5;MITRE PADEL;55;8vos;SABADO 13:00 HS;VALLEJOS / BENEITO vs B. ROBERTO / S. PEREZ
D5;MITRE PADEL;57;8vos;SABADO 19:30 HS;CERESETTO / J. GONZALEZ (espera ganador del partido 50)
D5;MITRE PADEL;58;4tos;SABADO 21:30 HS;STOFALO / CALCAGNO vs POSE / MARCHETTA
D5;MITRE PADEL;59;4tos;SABADO 20:45 HS;POSE / MARCHETTA vs K. MARTIN / ROLDAN
D5;MITRE PADEL;60;4tos;SABADO 16:45 HS;CASTRO / CASTRO (espera ganador del partido 55)
D5;MITRE PADEL;61;4tos;DOMINGO 10:30 HS;#57 vs #58
D5;MITRE PADEL;62;Semifinal;DOMINGO 10:30 HS;#59 vs #60
D5;MITRE PADEL;64;Final;DOMINGO 15:30 HS;#61 vs #62
D6;EL PORTAL;50;8vos;SABADO 16:45 HS;K. LOZADA / M. DIANA vs J. PEREZ / L. FERREYRA
D6;EL PORTAL;51;8vos;SABADO 16:45 HS;F. RODRIGUEZ / M. VERA vs LARREA IRRAZABAL / OJEDA
D6;EL PORTAL;52;8vos;SABADO 16:45 HS;MASSARA / DLOUHY vs DUPERRE / G. ROBLES
D6;EL PORTAL;53;8vos;SABADO 14:15 HS;A. ALEGRE / LUZZI vs MALLO / CHAPUIS
D6;EL PORTAL;54;8vos;SABADO 14:15 HS;A. ALCARAZ / VANETTI CARMONA vs OCHERA / C. MUÑOZ
D6;EL PORTAL;55;8vos;SABADO 13:00 HS;S. GOMEZ / GULIELMETTI vs D'ORTO / PREISZ
D6;EL PORTAL;56;8vos;SABADO 13:00 HS;D'ORTO / PREISZ vs DISCIOSCIA / M. ROMAN
D6;EL PORTAL;57;8vos;SABADO 20:45 HS;WAINMAYER / DI SARLI (espera ganador del partido 50)
D6;EL PORTAL;58;4tos;SABADO 20:45 HS;#51 vs #52
D6;EL PORTAL;59;4tos;SABADO 18:00 HS;#53 vs #54
D6;EL PORTAL;60;4tos;SABADO 18:00 HS;#55 vs #56
D6;REAL PADEL;61;4tos;DOMINGO 13:30 HS;#57 vs #58
D6;REAL PADEL;62;Semifinal;DOMINGO 13:30 HS;#59 vs #60
D6;REAL PADEL;64;Final;DOMINGO 16:30 HS;#61 vs #62
D7;REAL PADEL;50;8vos;SABADO 15:15 HS;FIAMINGO / DA COSTA SOUSA vs B. MANSILLA / M. FLORES
D7;REAL PADEL;55;8vos;SABADO 14:00 HS;Y. GONZALEZ / YOLI vs ORTIZ / CALO
D7;REAL PADEL;57;8vos;SABADO 18:30 HS;A. CORONEL / X. CORONEL (espera ganador del partido 50)
D7;REAL PADEL;58;4tos;SABADO 19:45 HS;RIVAS / BOSNACH vs RUIZ DIAZ / GUERRA
D7;REAL PADEL;59;4tos;SABADO 21:00 HS;M. ALEGRE / MA. ESCOBAR vs V. MONZON / V. FLORES
D7;REAL PADEL;60;4tos;SABADO 17:15 HS;ISAURRALDE / AYALA (espera ganador del partido 55)
D7;REAL PADEL;61;4tos;DOMINGO 10:30 HS;#57 vs #58
D7;REAL PADEL;62;Semifinal;DOMINGO 10:30 HS;#59 vs #60
D7;REAL PADEL;64;Final;DOMINGO 15:00 HS;#61 vs #62
